73,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain,"['%C3%81ed%C3%A1n_mac_Gabr%C3%A1in', '%C3%93engus_I_of_the_Picts', 'Alfred_the_Great', 'Anglo-Saxon_literature', 'Battle_of_Hastings', 'Bede', 'Boudica', 'Canute_the_Great', 'Caratacus', 'Castra', 'Christian_monasticism', 'Constantine_II_of_Scotland', 'D%C3%A1l_Riata', 'Domesday_Book', 'Edward_III_of_England', 'Edward_II_of_England', 'Edward_IV_of_England', 'Edward_I_of_England', 'Edward_V_of_England', 'Edward_the_Confessor', 'Edwin_of_Northumbria', 'Eilmer_of_Malmesbury', 'English_peasants%27_revolt_of_1381', 'Hadrian%27s_Wall', 'Harald_Maddadsson', 'Henry_III_of_England', 'Henry_II_of_England', 'Henry_IV_of_England', 'Henry_I_of_England', 'Henry_VII_of_England', 'Henry_VI_of_England', 'Henry_V_of_England', 'Hilda_of_Whitby', 'History_of_Anglo-Saxon_England', 'Hundred_Years%27_War', 'Ireland_King_of_Arms', 'J%C3%B3rv%C3%ADk', 'Jocelin', 'John_of_England', 'Jomsvikings', 'King_Arthur', 'Llywelyn_the_Great', 'Longship', 'Magna_Carta', 'Malcolm_III_of_Scotland', 'Malcolm_II_of_Scotland', 'Manorialism', 'Matilda_of_Boulogne', 'Medieval_commune', 'Medieval_literature', 'Medieval_music', 'Mercia', 'Norman_conquest_of_England', 'Oswald_of_Northumbria', 'Picts', 'Richard_III_of_England', 'Richard_II_of_England', 'Richard_I_of_England', 'Roman_Britain', 'Roman_Empire', 'Roman_law', 'Roman_road', 'Roman_villa', 'Rule_of_St_Benedict', 'Scotland_in_the_High_Middle_Ages', 'Stephen_of_England', 'Sutton_Hoo', 'The_Anarchy', 'Viking', 'Wars_of_the_Roses', 'Wessex', 'William_II_of_England', 'William_I_of_England']"
108,subject.People.Historical_figures,"['%C3%81ed%C3%A1n_mac_Gabr%C3%A1in', '%C3%93engus_I_of_the_Picts', 'Abbas_I_of_Persia', 'Adam_Smith', 'Adriaen_van_der_Donck', 'Agamemnon', 'Akbar', 'Akhenaten', 'Alcibiades', 'Aleksey_Arakcheyev', 'Alexander_Hamilton', 'Amda_Seyon_I', 'Armand_Jean_du_Plessis%2C_Cardinal_Richelieu', 'Attalus_I', 'Attila_the_Hun', 'Augustus', 'Aymer_de_Valence%2C_2nd_Earl_of_Pembroke', 'Babur', 'Benjamin_Franklin', 'Boudica', 'Boyle_Roche', 'Breaker_Morant', 'Caratacus', 'Carl_G._Fisher', 'Catherine_II_of_Russia', 'Charlemagne', 'Charles_Sumner', 'Charles_V%2C_Holy_Roman_Emperor', 'Che_Guevara', 'Claudius', 'Cleopatra_VII', 'Cleopatra_VII_of_Egypt', 'Constantine_I', 'Cyrus_the_Great', 'Demosthenes', 'Edwin_of_Northumbria', 'Eilmer_of_Malmesbury', 'Elagabalus', 'Elias_Ashmole', 'Francis_Drake', 'Franklin_B._Gowen', 'Frederick_II%2C_Holy_Roman_Emperor', 'Frederick_II_of_Prussia', 'Genghis_Khan', 'Hannibal_Barca', 'Hasekura_Tsunenaga', 'Hatshepsut', 'Helen', 'Helen_Gandy', 'Henry_H._Rogers', 'Heraclius', 'Hern%C3%A1n_Cort%C3%A9s', 'Ike_Altgens', 'Ivan_IV_of_Russia', 'J%C3%B3zef_Pi%C5%82sudski', 'Jacob_Riis', 'Joel_Brand', 'Johnny_Appleseed', 'Jonathan_Wild', 'Julius_Caesar', 'List_of_French_monarchs', 'Llywelyn_the_Great', 'Louis_XIV_of_France', 'Manuel_I_Komnenos', 'Mark_Antony', 'Napoleon_I_of_France', 'Olaudah_Equiano', 'Oliver_Cromwell', 'Otto_von_Bismarck', 'Penda_of_Mercia', 'Peter_I_of_Russia', 'Philip_II_of_Spain', 'Qin_Shi_Huang', 'Romulus_Augustus', 'Rosa_Parks', 'Rudolf_Vrba', 'Saladin', 'Samantha_Smith', 'Sardar_Vallabhbhai_Patel', 'Shaka', 'Sheikh_Mujibur_Rahman', 'Sim%C3%B3n_Bol%C3%ADvar', 'Sitting_Bull', 'Stanis%C5%82aw_Koniecpolski', 'Suleiman_the_Magnificent', 'Thomas_Malthus', 'Timur', 'Tiridates_I_of_Armenia', 'Victoria_of_the_United_Kingdom', 'W._Mark_Felt', 'Walter_Raleigh', 'William_Edington', 'William_Ewart_Gladstone', 'William_Gilbert', 'William_Mahone', 'William_N._Page', 'William_Wilberforce', 'William_the_Silent', 'Winfield_Scott_Hancock', 'Witold_Pilecki', 'Wyndham_Robertson', 'Yagan', 'Yuri_Gagarin', 'Yuri_Knorosov', 'Zara_Yaqob', 'Zhang_Qian', 'Zheng_He', 'Ziad_Jarrah']"
229,subject.Countries,"['%C3%85land', '%C3%89ire', 'Abkhazia', 'Abu_Dhabi', 'Afghanistan', 'Albania', 'Algeria', 'Andorra', 'Angola', 'Anguilla', 'Antigua_and_Barbuda', 'Argentina', 'Armenia', 'Aruba', 'Australia', 'Austria', 'Azerbaijan', 'Bahamas', 'Bahrain', 'Bangladesh', 'Barbados', 'Belarus', 'Belgium', 'Belize', 'Benin', 'Bermuda', 'Bhutan', 'Bolivia', 'Bosnia_and_Herzegovina', 'Botswana', 'Brazil', 'British_Indian_Ocean_Territory', 'British_Virgin_Islands', 'Brunei', 'Bulgaria', 'Burkina_Faso', 'Burundi', 'C%C3%B4te_d%27Ivoire', 'Cambodia', 'Cameroon', 'Canada', 'Cape_Verde', 'Cayman_Islands', 'Central_African_Republic', 'Chad', 'Chile', 'China', 'Christmas_Island', 'Cocos_%28Keeling%29_Islands', 'Colombia', 'Cook_Islands', 'Costa_Rica', 'Croatia', 'Cuba', 'Cyprus', 'Czech_Republic', 'Denmark', 'Djibouti', 'Dominica', 'Dominican_Republic', 'Dubai', 'East_Timor', 'Easter_Island', 'Ecuador', 'Egypt', 'El_Salvador', 'Equatorial_Guinea', 'Eritrea', 'Estonia', 'Ethiopia', 'Falkland_Islands', 'Federated_States_of_Micronesia', 'Fiji', 'Finland', 'France', 'French_Guiana', 'French_Polynesia', 'Gabon', 'Gal%C3%A1pagos_Islands', 'Gaza_Strip', 'Georgia_%28country%29', 'Germany', 'Ghana', 'Greece', 'Greenland', 'Grenada', 'Guadeloupe', 'Guam', 'Guatemala', 'Guinea', 'Guinea-Bissau', 'Guyana', 'Haiti', 'Honduras', 'Hong_Kong', 'Hungary', 'Iceland', 'India', 'Indonesia', 'Iran', 'Iraq', 'Ireland', 'Israel', 'Italy', 'Jamaica', 'Japan', 'Jordan', 'Kazakhstan', 'Kenya', 'Korea', 'Kosovo', 'Kuwait', 'Kyrgyzstan', 'Laos', 'Latvia', 'Lebanon', 'Lesotho', 'Liberia', 'Libya', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Madagascar', 'Malawi', 'Malaysia', 'Maldives', 'Mali', 'Malta', 'Martinique', 'Mauritania', 'Mauritius', 'Mexico', 'Moldova', 'Monaco', 'Montenegro', 'Montserrat', 'Morocco', 'Mozambique', 'Myanmar', 'Namibia', 'Nepal', 'Netherlands', 'Netherlands_Antilles', 'New_Zealand', 'Nicaragua', 'Niger', 'Nigeria', 'North_Korea', 'Norway', 'Oman', 'Pakistan', 'Palestinian_territories', 'Panama', 'Papua_New_Guinea', 'Paraguay', 'People%27s_Republic_of_China', 'Peru', 'Philippines', 'Poland', 'Portugal', 'Puerto_Rico', 'Qatar', 'R%C3%A9union', 'Republic_of_China', 'Republic_of_Ireland', 'Republic_of_Macedonia', 'Romania', 'Russia', 'Rwanda', 'S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe', 'Saint_Helena', 'Saint_Kitts_and_Nevis', 'Saint_Lucia', 'Saint_Vincent_and_the_Grenadines', 'Samoa', 'San_Marino', 'Saudi_Arabia', 'Senegal', 'Serbia', 'Serbia_and_Montenegro', 'Sierra_Leone', 'Singapore', 'Slovakia', 'Slovenia', 'Solomon_Islands', 'Somalia', 'South_Africa', 'South_Korea', 'South_Ossetia', 'Spain', 'Sri_Lanka', 'Sudan', 'Suriname', 'Swaziland', 'Sweden', 'Switzerland', 'Syria', 'Taiwan', 'Tajikistan', 'Tanzania', 'Thailand', 'The_Bahamas', 'The_Gambia', 'Tibet', 'Togo', 'Tonga', 'Trinidad_and_Tobago', 'Tunisia', 'Turkey', 'Turkish_Republic_of_Northern_Cyprus', 'Turkmenistan', 'Turks_and_Caicos_Islands', 'Tuvalu', 'Uganda', 'Ukraine', 'United_Arab_Emirates', 'United_Kingdom', 'United_States', 'Uruguay', 'Uzbekistan', 'Vanuatu', 'Vatican_City', 'Venezuela', 'Vietnam', 'West_Bank', 'Western_Sahara', 'Yemen', 'Zambia', 'Zimbabwe']"
56,subject.Geography.European_Geography.European_Countries,"['%C3%85land', '%C3%89ire', 'Albania', 'Andorra', 'Armenia', 'Austria', 'Azerbaijan', 'Belarus', 'Belgium', 'Bosnia_and_Herzegovina', 'Bulgaria', 'Croatia', 'Cyprus', 'Czech_Republic', 'Denmark', 'Estonia', 'Finland', 'France', 'Georgia_%28country%29', 'Germany', 'Greece', 'Hungary', 'Iceland', 'Ireland', 'Italy', 'Kosovo', 'Latvia', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Moldova', 'Monaco', 'Montenegro', 'Netherlands', 'Norway', 'Poland', 'Portugal', 'Republic_of_Ireland', 'Republic_of_Macedonia', 'Romania', 'Russia', 'San_Marino', 'Serbia', 'Serbia_and_Montenegro', 'Slovakia', 'Slovenia', 'South_Ossetia', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Turkish_Republic_of_Northern_Cyprus', 'Ukraine', 'United_Kingdom', 'Vatican_City']"
36,subject.People.Artists,"['%C3%89douard_Manet', 'Andy_Warhol', 'Anthony_van_Dyck', 'Anton_Alexander_von_Werner', 'Auguste_Rodin', 'Banksy', 'Canaletto', 'Caravaggio', 'Claude_Monet', 'Diego_Vel%C3%A1zquez', 'El_Lissitzky', 'Felice_Beato', 'Francisco_Goya', 'Henri_Matisse', 'Henry_Moore', 'Hiroh_Kikai', 'J._M._W._Turner', 'Jacques-Louis_David', 'John_Constable', 'John_Vanbrugh', 'L._S._Lowry', 'Leonardo_da_Vinci', 'Lucy%2C_Lady_Duff-Gordon', 'Matthew_Brettingham', 'Michelangelo', 'Pablo_Picasso', 'Paul_C%C3%A9zanne', 'Paul_Kane', 'Peter_Paul_Rubens', 'Raphael', 'Rembrandt', 'Roman_Vishniac', 'Salvador_Dal%C3%AD', 'Thomas_Gainsborough', 'Vincent_van_Gogh', 'William_Hogarth']"
14,subject.Business_Studies.Currency,"['%E2%82%AC2_commemorative_coins', 'Banknote', 'Coin', 'Currency', 'Demand_Note', 'Euro', 'Japanese_yen', 'List_of_circulating_currencies', 'Money', 'Numismatics', 'Pound_sterling', 'Renminbi', 'Rupee', 'United_States_dollar']"
80,subject.History.General_history,"['10th_century', '11th_century', '12th_century', '13th_century', '14th_century', '15th_century', '16th_century', '1755_Lisbon_earthquake', '17th_century', '18th_century', '19th_century', '1st_century', '1st_century_BC', '20th_century', '21st_century', '2nd_century', '3rd_century', '4th_century', '5th_century', '6th_century', '7th_century', '8th_century', '9th_century', 'African_slave_trade', 'Ancient_history', 'Anno_Domini', 'Ars_moriendi', 'Black_Death', 'Byzantine_Empire', 'Chola_dynasty', 'Copenhagen_Fire_of_1728', 'Dark_Ages', 'Eastern_Roman_Empire', 'Franks', 'French_Revolution', 'Habsburg_Spain', 'History_of_Burnside', 'History_of_Cape_Colony_from_1806_to_1870', 'History_of_Cape_Colony_from_1870_to_1899', 'History_of_Central_Asia', 'History_of_Greenland', 'History_of_Limerick', 'History_of_Portugal_%281777%E2%80%931834%29', 'History_of_Russia', 'History_of_Singapore', 'History_of_South_Africa', 'History_of_painting', 'History_of_the_Australian_Capital_Territory', 'History_of_the_Netherlands', 'History_of_the_Panama_Canal', 'History_of_the_Portuguese_Communist_Party', 'History_of_the_world', 'Holy_Roman_Empire', 'Inca_Empire', 'Industrial_Revolution', 'La_Grande_Arm%C3%A9e', 'Makuria', 'Middle_Ages', 'Modern_history', 'Old_Swiss_Confederacy', 'Polish-Lithuanian_Commonwealth', 'Political_integration_of_India', 'Qing_Dynasty', 'RMS_Titanic', 'Radhanite', 'Renaissance', 'Russian_Revolution_of_1917', 'Sassanid_Empire', 'Sk%C3%A5neland', 'Space_Race', 'Spanish_Inquisition', 'Spanish_conquest_of_the_Inca_Empire', 'Sydney_Riot_of_1879', 'Tiridates_I_of_Armenia', 'Treaty_of_Devol', 'Viking', 'Warsaw_Uprising_%281794%29', 'Yugoslavia', 'Zhang_Qian', 'Zheng_He']"
71,subject.History.Military_History_and_War,"['15th_Marine_Expeditionary_Unit', 'AK-47', 'Able_Archer_83', 'Algerian_Civil_War', 'Battle_of_Amiens', 'Battle_of_Jutland', 'Battle_of_Warsaw_%281920%29', 'Battle_of_the_Somme_%281916%29', 'Battles_of_the_Mexican-American_War', 'Children%27s_Crusade', 'Colditz_Castle', 'Cristero_War', 'Darfur_conflict', 'Defense_of_Sihang_Warehouse', 'Effects_of_nuclear_explosions', 'F-35_Lightning_II', 'F-4_Phantom_II', 'Firearm', 'German_Crusade%2C_1096', 'Hero_of_Ukraine', 'Hero_of_the_Russian_Federation', 'History_of_nuclear_weapons', 'History_of_the_Royal_Australian_Navy', 'Imperial_Japanese_Navy', 'Invasion', 'Iowa_class_battleship', 'Iraq_War', 'Kargil_War', 'Katana', 'Krag-J%C3%B8rgensen', 'Mauthausen-Gusen_concentration_camp', 'Medal_of_Honor', 'Military_history_of_Canada', 'Military_history_of_France', 'Military_history_of_Puerto_Rico', 'Military_history_of_the_Soviet_Union', 'Nuclear_weapon', 'Order_of_Canada', 'Order_of_St._Patrick', 'Order_of_the_Bath', 'Order_of_the_Garter', 'Order_of_the_Thistle', 'Poison_gas_in_World_War_I', 'Polish-Soviet_War', 'Royal_Air_Force', 'Royal_Marines', 'Royal_Navy', 'S-mine', 'Second_Congo_War', 'Second_Crusade', 'Siege', 'Swedish_allotment_system', 'T-34', 'Tank', 'The_King%27s_Regiment_%28Liverpool%29', 'Third_Servile_War', 'Trench_warfare', 'Trinity_test', 'Tsar_Bomba', 'U.S._Navy_Marine_Mammal_Program', 'USS_Wisconsin_%28BB-64%29', 'Victoria_Cross', 'Vietnam_War', 'Virtuti_Militari', 'War', 'Wars_of_Castro', 'Wars_of_the_Roses', 'Weapon', 'Western_Front_%28World_War_I%29', 'World_War_I', 'Yom_Kippur_War']"
105,subject.Science.Physics.Space_Astronomy,"['16_Cygni', '16_Cygni_Bb', '1_Ceres', '3_Juno', '47_Ursae_Majoris', '47_Ursae_Majoris_b', '47_Ursae_Majoris_c', '4_Vesta', '55_Cancri', '55_Cancri_b', '55_Cancri_c', '55_Cancri_d', '55_Cancri_e', '90377_Sedna', 'Algol', 'Andromeda_Galaxy', 'Archaeoastronomy', 'Aristarchus_%28crater%29', 'Asteroid', 'Astronomy', 'Astrophysics_Data_System', 'Big_Bang', 'Binary_star', 'Black_hole', 'Caloris_Basin', 'Cat%27s_Eye_Nebula', 'Ceres_%28dwarf_planet%29', 'Chromatic_aberration', 'Comet', 'Comet_Hale-Bopp', 'Comet_Halley', 'Comet_Hyakutake', 'Comet_Shoemaker-Levy_9', 'Comet_White-Ortiz-Bolelli', 'Cosmic_inflation', 'Cosmic_microwave_background_radiation', 'Crab_Nebula', 'Diffuse_interstellar_band', 'Edmond_Halley', 'Enceladus_%28moon%29', 'Eris_%28dwarf_planet%29', 'Extrasolar_planet', 'Extraterrestrial_life', 'Fermi_paradox', 'Full_moon', 'Galaxy', 'Gas_giant', 'Gliese_876', 'Gliese_876_b', 'Gliese_876_c', 'Gliese_876_d', 'Globular_cluster', 'Great_Comet_of_1882', 'Great_Red_Spot', 'Great_comet', 'HD_209458_b', 'HD_217107', 'HD_217107_b', 'HD_217107_c', 'HD_28185', 'HD_28185_b', 'H_II_region', 'Hawking_radiation', 'Heliocentrism', 'Herbig-Haro_object', 'Hubble%27s_law', 'Hubble_Deep_Field', 'Kuiper_belt', 'Leo_%28constellation%29', 'Luminiferous_aether', 'Lunar_eclipse', 'Meteor', 'Meteor_shower', 'Metric_expansion_of_space', 'Milky_Way', 'Moon', 'Mu_Arae', 'New_moon', 'Open_cluster', 'Optical_telescope', 'Orion_Nebula', 'PSR_B1620-26c', 'Planetary_nebula', 'Pleiades_%28star_cluster%29', 'Pluto', 'Proxima_Centauri', 'Radio_telescope', 'Red_dwarf', 'Red_giant', 'Redshift', 'Roche_limit', 'Scattered_disc', 'Shackleton_%28crater%29', 'Sirius', 'Solar_System', 'Solar_eclipse', 'Star', 'Sun', 'Timeline_of_discovery_of_solar_system_planets_and_their_natural_satellites', 'Transit_of_Venus', 'Universe', 'Upsilon_Andromedae', 'Upsilon_Andromedae_b', 'Upsilon_Andromedae_c', 'Upsilon_Andromedae_d']"
22,subject.Everyday_life.Sports_events,"['1896_Summer_Olympics', 'Australian_Open', 'Bodyline', 'Commonwealth_Games', 'Davis_Cup', 'FIFA_World_Cup', 'Fed_Cup', 'French_Open_%28tennis%29', 'Grand_Slam_%28tennis%29', 'Hopman_Cup', 'Monaco_Grand_Prix', 'National_Hockey_League', 'Olympic_Games', 'Rugby_World_Cup', 'Super_14', 'Super_Bowl_XL', 'Tennis_Masters_Cup', 'The_Ashes', 'The_Championships%2C_Wimbledon', 'Tour_de_France', 'U.S._Open_%28tennis%29', 'WTA_Tour_Championships']"
