From_Category,To_Category,Ratio_of_human_to_shortest
C0001,C0001,1.7560098876811776
C0001,C0002,1.8344066237350507
C0001,C0003,1.836829008176324
C0001,C0004,1.778456495828367
C0001,C0005,1.6551093221114261
C0001,C0006,1.8157894736842106
C0001,C0007,1.9019747799191054
C0001,C0008,1.6415903529352405
C0001,C0009,1.7928797781738959
C0001,C0010,1.8090207232832183
C0001,C0011,1.8729294841457642
C0001,C0012,1.625129265770424
C0001,C0013,1.742074484456756
C0001,C0014,1.6529606916658288
C0001,C0015,1.7432901223297426
C0001,C0016,1.8159706557344892
C0001,C0017,1.8344066237350507
C0001,C0019,1.976010101010101
C0001,C0020,1.9418994413407822
C0001,C0021,1.4578947368421054
C0001,C0022,1.8579136690647482
C0001,C0023,1.9469026548672566
C0001,C0024,1.610062893081761
C0001,C0025,1.8106508875739644
C0001,C0026,1.9312169312169312
C0001,C0027,1.9615384615384615
C0001,C0028,1.9598262757871878
C0001,C0029,1.6034188034188035
C0001,C0030,1.8683812405446294
C0001,C0031,1.6878188775510203
C0001,C0032,1.7744610281923714
C0001,C0033,1.6385205861828331
C0001,C0034,1.8927006196161402
C0001,C0035,1.575909661229611
C0001,C0036,1.6762589928057554
C0001,C0037,2.3029556650246303
C0001,C0038,1.7928843710292248
C0001,C0039,2.067938021454112
C0001,C0040,2.01007326007326
C0001,C0041,1.7403508771929825
C0001,C0042,1.9721681046479265
C0001,C0043,2.3152173913043477
C0001,C0044,2.002197802197802
C0001,C0045,1.6073539067629679
C0001,C0046,1.6174582798459562
C0001,C0047,1.5546218487394958
C0001,C0048,2.06966618287373
C0001,C0049,1.619800332778702
C0001,C0050,1.6311111111111112
C0001,C0051,1.7906591586618086
C0001,C0052,1.8200332502078138
C0001,C0053,1.566458982346833
C0001,C0054,1.560364464692483
C0001,C0055,1.5962962962962963
C0001,C0056,1.5789473684210527
C0001,C0057,1.6909547738693467
C0001,C0058,1.645314981471678
C0001,C0059,1.7593564183280868
C0001,C0060,1.8650602409638555
C0001,C0061,1.7576754385964912
C0001,C0062,1.576679340937896
C0001,C0063,1.6177105831533478
C0001,C0064,1.6372980910425845
C0001,C0065,1.7545760179305192
C0001,C0066,1.7142857142857142
C0001,C0067,1.9186519465427077
C0001,C0068,1.9201960784313725
C0001,C0069,1.6206896551724137
C0001,C0070,1.6143011917659804
C0001,C0071,1.4868804664723032
C0001,C0072,1.6151515151515152
C0001,C0073,1.509933774834437
C0001,C0074,1.3960948396094839
C0001,C0075,1.8224137931034483
C0001,C0076,2.0698131760078664
C0001,C0077,1.6823529411764706
C0001,C0078,1.642365887207703
C0001,C0079,1.9046270066100095
C0001,C0080,2.0082644628099175
C0001,C0081,2.137905604719764
C0001,C0082,1.978201634877384
